"datetime","state","ri","flags"
"2024.06.02 00:00","NEUTRAL","0.308",""
"2024.06.03 00:00","RISK_ON","0.5",""
"2024.06.04 00:00","NEUTRAL","0.077",""
"2024.06.05 00:00","NEUTRAL","0.077",""
"2024.06.06 00:00","NEUTRAL","0.269",""
"2024.06.09 00:00","NEUTRAL","0.346",""
"2024.06.10 00:00","NEUTRAL","0.346",""
"2024.06.11 00:00","NEUTRAL","0.308",""
"2024.06.12 00:00","NEUTRAL","0.462",""
"2024.06.13 00:00","NEUTRAL","0.154",""
"2024.06.16 00:00","NEUTRAL","0.346",""
"2024.06.17 00:00","NEUTRAL","0.308",""
"2024.06.18 00:00","NEUTRAL","0.346",""
"2024.06.19 00:00","NEUTRAL","0.346",""
"2024.06.20 00:00","RISK_ON","0.577","LOADED_FUSE"
"2024.06.23 00:00","NEUTRAL","0.385","LOADED_FUSE"
"2024.06.24 00:00","NEUTRAL","0.385","LOADED_FUSE"
"2024.06.25 00:00","NEUTRAL","0.231","LOADED_FUSE"
"2024.06.26 00:00","NEUTRAL","0.231","LOADED_FUSE"
"2024.06.27 00:00","NEUTRAL","0.231","LOADED_FUSE"
"2024.06.30 00:00","RISK_ON","0.577","LOADED_FUSE"
"2024.07.01 00:00","RISK_ON","0.654","LOADED_FUSE"
"2024.07.02 00:00","RISK_ON","0.692","LOADED_FUSE"
"2024.07.03 00:00","RISK_ON","0.577","LOADED_FUSE"
"2024.07.04 00:00","NEUTRAL","0.423","LOADED_FUSE"
"2024.07.07 00:00","NEUTRAL","0.423","LOADED_FUSE"
"2024.07.08 00:00","NEUTRAL","0.423","LOADED_FUSE"
"2024.07.09 00:00","NEUTRAL","0.308","LOADED_FUSE"
"2024.07.10 00:00","NEUTRAL","0.308","LOADED_FUSE"
"2024.07.11 00:00","NEUTRAL","-0.231",""
"2024.07.14 00:00","NEUTRAL","0.462","LOADED_FUSE"
"2024.07.15 00:00","NEUTRAL","0.077",""
"2024.07.16 00:00","NEUTRAL","0.077",""
"2024.07.17 00:00","RISK_OFF","-0.615",""
"2024.07.18 00:00","NEUTRAL","0",""
"2024.07.21 00:00","NEUTRAL","0.077",""
"2024.07.22 00:00","NEUTRAL","0.231",""
"2024.07.23 00:00","NEUTRAL","0.231",""
"2024.07.24 00:00","NEUTRAL","0.038",""
"2024.07.25 00:00","RISK_OFF","-0.423",""
"2024.07.28 00:00","NEUTRAL","-0.231",""
"2024.07.29 00:00","NEUTRAL","0.115",""
"2024.07.30 00:00","RISK_OFF","-0.462",""
"2024.07.31 00:00","RISK_OFF","-0.654",""
"2024.08.01 00:00","RISK_OFF","-0.808",""
"2024.08.04 00:00","STRESS","-1.346",""
"2024.08.05 00:00","STRESS","-1.5","VIX_STRESS"
"2024.08.06 00:00","STRESS","-1.269",""
"2024.08.07 00:00","RISK_OFF","-0.846",""
"2024.08.08 00:00","RISK_OFF","-0.769",""
"2024.08.11 00:00","RISK_OFF","-0.769",""
"2024.08.12 00:00","RISK_OFF","-0.769",""
"2024.08.13 00:00","RISK_OFF","-0.615",""
"2024.08.14 00:00","RISK_OFF","-0.654",""
"2024.08.15 00:00","RISK_OFF","-0.5",""
"2024.08.18 00:00","RISK_OFF","-0.346",""
"2024.08.19 00:00","RISK_OFF","-0.308",""
"2024.08.20 00:00","RISK_OFF","-0.462",""
"2024.08.21 00:00","RISK_OFF","-0.462",""
"2024.08.22 00:00","RISK_OFF","-0.538",""
"2024.08.25 00:00","RISK_OFF","-0.308",""
"2024.08.26 00:00","RISK_OFF","-0.462",""
"2024.08.27 00:00","RISK_OFF","-0.462",""
"2024.08.28 00:00","RISK_OFF","-0.654",""
"2024.08.29 00:00","RISK_OFF","-0.654",""
"2024.09.01 00:00","RISK_OFF","-0.5",""
"2024.09.02 00:00","RISK_OFF","-0.462",""
"2024.09.03 00:00","RISK_OFF","-0.846",""
"2024.09.04 00:00","RISK_OFF","-0.808",""
"2024.09.05 00:00","RISK_OFF","-0.654",""
"2024.09.08 00:00","RISK_OFF","-1",""
"2024.09.09 00:00","RISK_OFF","-0.769",""
"2024.09.10 00:00","RISK_OFF","-0.769",""
"2024.09.11 00:00","RISK_OFF","-0.615",""
"2024.09.12 00:00","RISK_OFF","-0.615",""
"2024.09.15 00:00","RISK_OFF","-0.462",""
"2024.09.16 00:00","RISK_OFF","-0.462",""
"2024.09.17 00:00","RISK_OFF","-0.462",""
"2024.09.18 00:00","RISK_OFF","-0.462",""
"2024.09.19 00:00","RISK_OFF","-0.462",""
