"datetime","state","ri","flags"
"2020.02.03 00:00","RISK_OFF","-0.538",""
"2020.02.04 00:00","RISK_OFF","-0.654",""
"2020.02.05 00:00","RISK_OFF","-0.462",""
"2020.02.06 00:00","RISK_OFF","-0.308",""
"2020.02.07 00:00","RISK_OFF","-0.462",""
"2020.02.10 00:00","RISK_OFF","-0.462",""
"2020.02.11 00:00","RISK_OFF","-0.462",""
"2020.02.12 00:00","RISK_OFF","-0.308",""
"2020.02.13 00:00","RISK_OFF","-0.308",""
"2020.02.14 00:00","RISK_OFF","-0.308",""
"2020.02.17 00:00","RISK_OFF","-0.5",""
"2020.02.18 00:00","RISK_OFF","-0.346",""
"2020.02.19 00:00","RISK_OFF","-0.5",""
"2020.02.20 00:00","NEUTRAL","0.115",""
"2020.02.21 00:00","RISK_OFF","-0.577",""
"2020.02.24 00:00","RISK_OFF","-0.846",""
"2020.02.25 00:00","RISK_OFF","-0.885",""
"2020.02.26 00:00","STRESS","-1.038",""
"2020.02.27 00:00","STRESS","-1.192","VIX_STRESS"
"2020.02.28 00:00","STRESS","-1.423","VIX_STRESS"
"2020.03.02 00:00","STRESS","-1.231","VIX_STRESS"
"2020.03.03 00:00","STRESS","-1.231","VIX_STRESS"
"2020.03.04 00:00","STRESS","-1.231","VIX_STRESS"
"2020.03.05 00:00","STRESS","-1.231","VIX_STRESS"
"2020.03.06 00:00","STRESS","-1.231","VIX_STRESS"
"2020.03.09 00:00","STRESS","-1.5","VIX_STRESS"
"2020.03.10 00:00","STRESS","-1.5","VIX_STRESS"
"2020.03.11 00:00","STRESS","-1.154","VIX_STRESS"
"2020.03.12 00:00","STRESS","-1","VIX_STRESS"
"2020.03.13 00:00","STRESS","-1","VIX_STRESS"
"2020.03.16 00:00","STRESS","-1","VIX_STRESS"
"2020.03.17 00:00","STRESS","-0.962","VIX_STRESS"
"2020.03.18 00:00","STRESS","-1","VIX_STRESS"
"2020.03.19 00:00","STRESS","-0.962","VIX_STRESS"
"2020.03.20 00:00","STRESS","-1.038","VIX_STRESS"
"2020.03.23 00:00","STRESS","-1.038","VIX_STRESS"
"2020.03.24 00:00","STRESS","-1.192","VIX_STRESS"
"2020.03.25 00:00","STRESS","-1.077","VIX_STRESS"
"2020.03.26 00:00","STRESS","-1.077","VIX_STRESS"
"2020.03.27 00:00","STRESS","-1.077","VIX_STRESS"
"2020.03.29 00:00","STRESS","-1.115","VIX_STRESS"
"2020.03.30 00:00","STRESS","-0.962","VIX_STRESS"
"2020.03.31 00:00","STRESS","-0.962","VIX_STRESS"
"2020.04.01 00:00","STRESS","-1.077","VIX_STRESS"
"2020.04.02 00:00","STRESS","-1.077","VIX_STRESS"
"2020.04.05 00:00","STRESS","-1.154","VIX_STRESS"
"2020.04.06 00:00","STRESS","-1","VIX_STRESS"
"2020.04.07 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.08 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.09 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.12 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.13 00:00","STRESS","-0.885","VIX_STRESS"
"2020.04.14 00:00","STRESS","-0.962","VIX_STRESS"
"2020.04.15 00:00","STRESS","-0.962","VIX_STRESS"
"2020.04.16 00:00","STRESS","-1.077","VIX_STRESS"
"2020.04.19 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.20 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.21 00:00","STRESS","-1.154","VIX_STRESS"
"2020.04.22 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.23 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.26 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.27 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.28 00:00","STRESS","-0.923","VIX_STRESS"
"2020.04.29 00:00","STRESS","-0.769","VIX_STRESS"
"2020.04.30 00:00","STRESS","-0.769","VIX_STRESS"
