"datetime","state","ri","flags"
"2023.08.01 00:00","NEUTRAL","0.385",""
"2023.08.02 00:00","NEUTRAL","0.077",""
"2023.08.03 00:00","NEUTRAL","0.269",""
"2023.08.06 00:00","NEUTRAL","0.077",""
"2023.08.07 00:00","NEUTRAL","0.038",""
"2023.08.08 00:00","NEUTRAL","0.038",""
"2023.08.09 00:00","NEUTRAL","0.231",""
"2023.08.10 00:00","NEUTRAL","0.154",""
"2023.08.13 00:00","NEUTRAL","0.269",""
"2023.08.14 00:00","NEUTRAL","0.346",""
"2023.08.15 00:00","NEUTRAL","0.269",""
"2023.08.16 00:00","NEUTRAL","0.077",""
"2023.08.17 00:00","NEUTRAL","-0.038",""
"2023.08.20 00:00","NEUTRAL","-0.115",""
"2023.08.21 00:00","NEUTRAL","-0.038",""
"2023.08.22 00:00","NEUTRAL","-0.038",""
"2023.08.23 00:00","NEUTRAL","-0.038",""
"2023.08.24 00:00","NEUTRAL","0.077",""
"2023.08.27 00:00","NEUTRAL","0.077",""
"2023.08.28 00:00","NEUTRAL","0.077",""
"2023.08.29 00:00","NEUTRAL","0.231",""
"2023.08.30 00:00","NEUTRAL","0.231",""
"2023.08.31 00:00","NEUTRAL","0.231",""
"2023.09.03 00:00","NEUTRAL","0.154",""
"2023.09.04 00:00","NEUTRAL","0.154",""
"2023.09.05 00:00","NEUTRAL","0.115",""
"2023.09.06 00:00","NEUTRAL","0.192",""
"2023.09.07 00:00","NEUTRAL","0.038",""
"2023.09.10 00:00","NEUTRAL","0.192",""
"2023.09.11 00:00","NEUTRAL","0.115",""
"2023.09.12 00:00","NEUTRAL","0.231",""
"2023.09.13 00:00","NEUTRAL","0.231",""
"2023.09.14 00:00","NEUTRAL","0.231",""
"2023.09.17 00:00","NEUTRAL","0.231",""
"2023.09.18 00:00","NEUTRAL","0.231",""
"2023.09.19 00:00","NEUTRAL","0.231",""
"2023.09.20 00:00","NEUTRAL","0",""
"2023.09.21 00:00","NEUTRAL","-0.038",""
"2023.09.24 00:00","NEUTRAL","0",""
"2023.09.25 00:00","NEUTRAL","0.077",""
"2023.09.26 00:00","NEUTRAL","0.038",""
"2023.09.27 00:00","NEUTRAL","-0.038",""
"2023.09.28 00:00","NEUTRAL","0.077",""
"2023.10.01 00:00","NEUTRAL","0.077",""
"2023.10.02 00:00","NEUTRAL","-0.038",""
"2023.10.03 00:00","NEUTRAL","0.038",""
"2023.10.04 00:00","NEUTRAL","-0.038",""
"2023.10.05 00:00","NEUTRAL","-0.115",""
"2023.10.08 00:00","NEUTRAL","0.038",""
"2023.10.09 00:00","NEUTRAL","-0.038",""
"2023.10.10 00:00","NEUTRAL","0.077",""
"2023.10.11 00:00","NEUTRAL","0",""
"2023.10.12 00:00","NEUTRAL","0",""
"2023.10.15 00:00","RISK_OFF","-0.269",""
"2023.10.16 00:00","NEUTRAL","0.115",""
"2023.10.17 00:00","NEUTRAL","0.192",""
"2023.10.18 00:00","NEUTRAL","0.115",""
"2023.10.19 00:00","NEUTRAL","0.077",""
"2023.10.22 00:00","NEUTRAL","0.077",""
"2023.10.23 00:00","NEUTRAL","0",""
"2023.10.24 00:00","NEUTRAL","0.231",""
"2023.10.25 00:00","NEUTRAL","-0.038",""
"2023.10.26 00:00","NEUTRAL","0.077",""
"2023.10.30 00:00","NEUTRAL","0.192",""
"2023.10.31 00:00","NEUTRAL","0.231",""
"2023.11.01 00:00","NEUTRAL","0.077",""
"2023.11.02 00:00","NEUTRAL","0.077",""
"2023.11.03 00:00","NEUTRAL","0.231",""
"2023.11.06 00:00","NEUTRAL","0.192",""
"2023.11.07 00:00","NEUTRAL","0.231",""
"2023.11.08 00:00","NEUTRAL","0.231",""
"2023.11.09 00:00","NEUTRAL","0.115",""
"2023.11.10 00:00","NEUTRAL","0.269",""
"2023.11.13 00:00","NEUTRAL","0.269",""
"2023.11.14 00:00","NEUTRAL","0.077",""
"2023.11.15 00:00","NEUTRAL","0.385",""
