"BkkTime","Currency","Title","TimeRaw","Forecast","Previous"
"2026.07.20 23:30","CAD","Trimmed CPI y/y","07-20-2026 12:30pm ET","2.0%","2.0%"
"2026.07.20 23:30","CAD","Median CPI y/y","07-20-2026 12:30pm ET","2.1%","2.1%"
"2026.07.20 23:30","CAD","CPI m/m","07-20-2026 12:30pm ET","-0.2%","1.0%"
"2026.07.21 09:45","NZD","CPI q/q","07-20-2026 10:45pm ET","1.5%","0.9%"
"2026.07.21 17:00","GBP","Claimant Count Change","07-21-2026 6:00am ET","28.3K","31.2K"
"2026.07.22 17:00","GBP","CPI y/y","07-22-2026 6:00am ET","2.7%","2.8%"
"2026.07.23 12:30","AUD","Unemployment Rate","07-23-2026 1:30am ET","4.4%","4.4%"
"2026.07.23 12:30","AUD","Employment Change","07-23-2026 1:30am ET","15.2K","40.3K"
"2026.07.23 23:15","EUR","Monetary Policy Statement","07-23-2026 12:15pm ET","",""
"2026.07.23 23:15","EUR","Main Refinancing Rate","07-23-2026 12:15pm ET","2.40%","2.40%"
"2026.07.23 23:45","EUR","ECB Press Conference","07-23-2026 12:45pm ET","",""
