cell_id,symbol,tf,window,from_date,to_date,model,set_path,report_name,holdout,optimization
H3-C01-MAIN,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_XAUUSD_M15_MAIN_M1,NO,NO
H3-C01-BWD,XAUUSD,M15,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_XAUUSD_M15_BWD_M1,NO,NO
H3-C02-MAIN,XAUUSD,H1,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_XAUUSD_H1_MAIN_M1,NO,NO
H3-C02-BWD,XAUUSD,H1,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_XAUUSD_H1_BWD_M1,NO,NO
H3-C03-MAIN,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_XAUUSD_H4_MAIN_M1,NO,NO
H3-C03-BWD,XAUUSD,H4,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_XAUUSD_H4_BWD_M1,NO,NO
H3-C04-MAIN,EURUSD,M15,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_EURUSD_M15_MAIN_M1,NO,NO
H3-C04-BWD,EURUSD,M15,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_EURUSD_M15_BWD_M1,NO,NO
H3-C05-MAIN,EURUSD,H1,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_EURUSD_H1_MAIN_M1,NO,NO
H3-C05-BWD,EURUSD,H1,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_EURUSD_H1_BWD_M1,NO,NO
H3-C06-MAIN,EURUSD,H4,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_EURUSD_H4_MAIN_M1,NO,NO
H3-C06-BWD,EURUSD,H4,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_EURUSD_H4_BWD_M1,NO,NO
H3-C07-MAIN,GBPUSD,M15,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_GBPUSD_M15_MAIN_M1,NO,NO
H3-C07-BWD,GBPUSD,M15,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_GBPUSD_M15_BWD_M1,NO,NO
H3-C08-MAIN,GBPUSD,H1,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_GBPUSD_H1_MAIN_M1,NO,NO
H3-C08-BWD,GBPUSD,H1,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_GBPUSD_H1_BWD_M1,NO,NO
H3-C09-MAIN,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_GBPUSD_H4_MAIN_M1,NO,NO
H3-C09-BWD,GBPUSD,H4,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_GBPUSD_H4_BWD_M1,NO,NO
H3-C10-MAIN,AUDUSD,M15,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_AUDUSD_M15_MAIN_M1,NO,NO
H3-C10-BWD,AUDUSD,M15,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_AUDUSD_M15_BWD_M1,NO,NO
H3-C11-MAIN,AUDUSD,H1,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_AUDUSD_H1_MAIN_M1,NO,NO
H3-C11-BWD,AUDUSD,H1,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_AUDUSD_H1_BWD_M1,NO,NO
H3-C12-MAIN,AUDUSD,H4,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_AUDUSD_H4_MAIN_M1,NO,NO
H3-C12-BWD,AUDUSD,H4,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_AUDUSD_H4_BWD_M1,NO,NO
H3-C13-MAIN,USDJPY,M15,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_USDJPY_M15_MAIN_M1,NO,NO
H3-C13-BWD,USDJPY,M15,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_USDJPY_M15_BWD_M1,NO,NO
H3-C14-MAIN,USDJPY,H1,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_USDJPY_H1_MAIN_M1,NO,NO
H3-C14-BWD,USDJPY,H1,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_USDJPY_H1_BWD_M1,NO,NO
H3-C15-MAIN,USDJPY,H4,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_USDJPY_H4_MAIN_M1,NO,NO
H3-C15-BWD,USDJPY,H4,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_USDJPY_H4_BWD_M1,NO,NO
H3-C16-MAIN,BTCUSD,M15,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_BTCUSD_M15_MAIN_M1,NO,NO
H3-C16-BWD,BTCUSD,M15,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_BTCUSD_M15_BWD_M1,NO,NO
H3-C17-MAIN,BTCUSD,H1,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_BTCUSD_H1_MAIN_M1,NO,NO
H3-C17-BWD,BTCUSD,H1,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_BTCUSD_H1_BWD_M1,NO,NO
H3-C18-MAIN,BTCUSD,H4,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_BTCUSD_H4_MAIN_M1,NO,NO
H3-C18-BWD,BTCUSD,H4,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H3_B19_BTCUSD_H4_BWD_M1,NO,NO
